VendorName,TotalPurchaseDollars,PurchaseContribution
SAZERAC CO INC,334597.38000000303,0.10886928315263057
WILLIAM GRANT & SONS INC,333040.2000000021,0.10836261728949766
REMY COINTREAU USA INC,332735.08000000386,0.10826333917896573
CONSTELLATION BRANDS INC,331565.4000000009,0.10788275573531086
SAZERAC CO INC,331340.37999999657,0.10780954008103566
REMY COINTREAU USA INC,330937.250000001,0.10767837206616107
DIAGEO NORTH AMERICA INC,328978.1999999996,0.10704094815937401
DIAGEO NORTH AMERICA INC,326498.04,0.10623396861487255
PERNOD RICARD USA,326068.0499999993,0.106094061054739
DIAGEO NORTH AMERICA INC,325305.53999999695,0.10584596013686282
MARTIGNETTI COMPANIES,322920.540000002,0.105069943180847
MARTIGNETTI COMPANIES,318768.0000000009,0.10371881469005385
E & J GALLO WINERY,316501.9400000042,0.10298149771590273
SOUTHERN WINE & SPIRITS NE,314863.8000000015,0.1024484895748828
MOET HENNESSY USA INC,314007.68,0.10216993039820069
M S WALKER INC,311688.00000000524,0.1014151668709342
EDRINGTON AMERICAS,311592.63000000373,0.10138413595391259
JIM BEAM BRANDS COMPANY,309826.6800000047,0.10080954176377493
PERNOD RICARD USA,309637.55,0.10074800378184821
CONSTELLATION BRANDS INC,308111.58000000525,0.10025149284081261
MARTIGNETTI COMPANIES,306225.18000000564,0.099637707354091
DIAGEO NORTH AMERICA INC,303283.6400000054,0.09868060676004328
M S WALKER INC,298693.9799999946,0.09718725079259527
STE MICHELLE WINE ESTATES,296537.71000000084,0.09648565662834076
DIAGEO NORTH AMERICA INC,295391.0400000049,0.09611256004010035
JIM BEAM BRANDS COMPANY,289604.5,0.09422977045658791
TRINCHERO FAMILY ESTATES,287921.8799999947,0.0936822896806809
BROWN-FORMAN CORP,287124.70000000007,0.09342290804672122
BACARDI USA INC,285668.11999999546,0.0929489748065537
BROWN-FORMAN CORP,283909.31999999785,0.09237670704041465
MARTIGNETTI COMPANIES,283082.2400000021,0.09210759672428062
CONSTELLATION BRANDS INC,277577.15999999834,0.0903163869027982
SAZERAC CO INC,266683.66999999026,0.0867719286427508
SAZERAC CO INC,266209.5599999954,0.08661766558236779
DIAGEO NORTH AMERICA INC,263846.8499999981,0.08584890121249361
DIAGEO NORTH AMERICA INC,261478.8000000034,0.08507839934553633
DIAGEO NORTH AMERICA INC,259998.19999999896,0.08459665062223114
MHW LTD,257975.38999999338,0.0839384808701112
CONSTELLATION BRANDS INC,257235.03999999663,0.0836975902397611
PERNOD RICARD USA,256825.79999999833,0.08356443418983268
ULTRA BEVERAGE COMPANY LLP,256727.9199999992,0.0835325865841076
MOET HENNESSY USA INC,255645.5699999993,0.08318041805062942
WINE GROUP INC,255349.12999999546,0.08308396418629199
JIM BEAM BRANDS COMPANY,255142.28999999777,0.08301666383107989
WILLIAM GRANT & SONS INC,254470.69000000128,0.08279814266225029
ULTRA BEVERAGE COMPANY LLP,253153.36000000304,0.08236951774960075
CAMPARI AMERICA,252997.120000001,0.08231868131806626
MOET HENNESSY USA INC,252260.27999999488,0.0820789327504031
BROWN-FORMAN CORP,250950.94000000108,0.08165290757590116
BACARDI USA INC,250508.81999999846,0.08150905322931984
WILLIAM GRANT & SONS INC,250421.0100000056,0.0814804821396333
PERNOD RICARD USA,250137.02999999846,0.08138808243515724
SIDNEY FRANK IMPORTING CO,249710.88999999384,0.08124942756486758
CONSTELLATION BRANDS INC,249574.53000000175,0.08120505956817306
M S WALKER INC,246887.52,0.0803307764147182
JIM BEAM BRANDS COMPANY,246886.0000000029,0.0803302818462608
MOET HENNESSY USA INC,245780.19000000227,0.07997048003907666
JIM BEAM BRANDS COMPANY,245577.64000000161,0.07990457553826247
BROWN-FORMAN CORP,244968.63999999798,0.07970642278093858
BACARDI USA INC,243330.49999999948,0.07917341463992002
MARTIGNETTI COMPANIES,240651.25,0.0783016563885953
JIM BEAM BRANDS COMPANY,240004.3399999948,0.07809116870347108
MARTIGNETTI COMPANIES,238464.81000000195,0.0775902456911893
DIAGEO NORTH AMERICA INC,238424.68999999904,0.07757719168688
BROWN-FORMAN CORP,237682.62000000218,0.07733574141327436
MOET HENNESSY USA INC,237613.0300000022,0.07731309863760594
DIAGEO NORTH AMERICA INC,236179.29999999702,0.07684660019301265
CONSTELLATION BRANDS INC,235311.11999999775,0.0765641170060631
DIAGEO NORTH AMERICA INC,234879.38999999076,0.0764236432951923
MAJESTIC FINE WINES,233913.60000000178,0.07610940035349689
WILLIAM GRANT & SONS INC,233803.83000000234,0.07607368405108113
WILLIAM GRANT & SONS INC,233503.19999999838,0.07597586686974334
PERFECTA WINES,232360.0700000003,0.07560392210541178
BROWN-FORMAN CORP,231890.95999999714,0.07545128591495484
PERFECTA WINES,231151.40000000238,0.07521065233005413
CONSTELLATION BRANDS INC,230197.09999999477,0.07490014793544893
CONSTELLATION BRANDS INC,228698.2000000038,0.07441244486820886
CONSTELLATION BRANDS INC,227263.58999999487,0.07394566009450691
TRINCHERO FAMILY ESTATES,226816.55999999747,0.07380020816165724
DIAGEO NORTH AMERICA INC,226602.74999999875,0.0737306399497641
WINE GROUP INC,226290.9600000089,0.07362919159474993
JIM BEAM BRANDS COMPANY,225051.31999999488,0.0732258449870483
WINE GROUP INC,222833.2000000007,0.07250412644177495
"STOLI GROUP,(USA) LLC",222011.0399999952,0.07223661696564765
JIM BEAM BRANDS COMPANY,221025.2500000011,0.07191586654423554
REMY COINTREAU USA INC,219981.56999999704,0.07157628022278502
SAZERAC CO INC,219794.84999999998,0.07151552639216646
DIAGEO NORTH AMERICA INC,219098.8800000015,0.07128907585930343
BROWN-FORMAN CORP,218967.0600000037,0.07124618506050237
JIM BEAM BRANDS COMPANY,218749.2500000019,0.07117531535266525
JIM BEAM BRANDS COMPANY,218154.4200000139,0.07098177314472455
DIAGEO NORTH AMERICA INC,217477.259999999,0.07076144289652816
E & J GALLO WINERY,216970.4999999946,0.07059655637550728
WINE GROUP INC,216028.5600000012,0.0702900736033706
BROWN-FORMAN CORP,215521.45999999566,0.07012507645519418
PROXIMO SPIRITS INC.,215481.2500000026,0.07011199316722937
CONSTELLATION BRANDS INC,214609.83000000322,0.06982845576856594
LUXCO INC,214599.62999999727,0.06982513695390935
BACARDI USA INC,214591.30000000406,0.06982242658861024
JIM BEAM BRANDS COMPANY,214038.1499999967,0.06964244596838938
DIAGEO NORTH AMERICA INC,213747.9099999985,0.06954800942276543
DIAGEO NORTH AMERICA INC,211839.36000000135,0.06892701690226022
MARTIGNETTI COMPANIES,211814.39999999898,0.06891889556757509
E & J GALLO WINERY,210736.05000000136,0.06856802853004065
DIAGEO NORTH AMERICA INC,209682.72000000312,0.06822530234962954
MARTIGNETTI COMPANIES,209155.59999999646,0.06805379121425802
SAZERAC CO INC,208987.83999999924,0.06799920647440924
SAZERAC CO INC,206370.23999999152,0.06714750752930344
TREASURY WINE ESTATES,206254.7999999953,0.0671099463563895
DIAGEO NORTH AMERICA INC,205403.52000000054,0.06683296198980063
"STOLI GROUP,(USA) LLC",204596.7000000024,0.06657044375061716
MARTIGNETTI COMPANIES,204375.04999999827,0.06649832460667397
MOET HENNESSY USA INC,204110.42999999813,0.06641222414256436
WINE GROUP INC,204082.00999999637,0.06640297701388873
JIM BEAM BRANDS COMPANY,203968.79999998913,0.06636614142495943
CONSTELLATION BRANDS INC,203910.90000000427,0.06634730227118935
PROXIMO SPIRITS INC.,203658.52000000543,0.06626518438466575
E & J GALLO WINERY,203440.7700000007,0.06619433419926679
SAZERAC CO INC,203093.32999999734,0.06608128626165619
STE MICHELLE WINE ESTATES,202904.06999999896,0.06601970598111337
BACARDI USA INC,200501.76000000234,0.06523805680140364
WILLIAM GRANT & SONS INC,200348.71999999913,0.06518826156662318
SOUTHERN WINE & SPIRITS NE,200206.91999999742,0.06514212353544305
DIAGEO NORTH AMERICA INC,200048.94000000056,0.06509072095317504
BROWN-FORMAN CORP,199714.82000000225,0.06498200699705627
DIAGEO NORTH AMERICA INC,199470.18000000124,0.06490240750518168
DIAGEO NORTH AMERICA INC,199420.24000000182,0.06488615832833344
DIAGEO NORTH AMERICA INC,198690.65999999846,0.06464877197580772
MAJESTIC FINE WINES,197537.9999999965,0.06427372639739069
BACARDI USA INC,197481.11999999912,0.064255219125082
DIAGEO CHATEAU ESTATE WINES,197248.07999999952,0.06417939397144258
CAMPARI AMERICA,196754.35000000068,0.06401874707345784
"STOLI GROUP,(USA) LLC",196497.96000000095,0.06393532443725108
CAMPARI AMERICA,196242.09,0.06385207099551653
DIAGEO NORTH AMERICA INC,195982.04999999568,0.06376746074426028
STE MICHELLE WINE ESTATES,195610.31999999934,0.06364650947253804
JIM BEAM BRANDS COMPANY,195384.21000000156,0.06357293916062048
SOUTHERN WINE & SPIRITS NE,195358.21999999793,0.06356448269072962
MARTIGNETTI COMPANIES,194973.51999999952,0.0634393113184115
SHAW ROSS INT L IMP LTD,193651.19999999763,0.0630090627895719
WINE GROUP INC,192643.00000000815,0.0626810207371406
PINE STATE TRADING CO,192543.0,0.06264848333856278
MARTIGNETTI COMPANIES,191961.51000000213,0.0624592816195888
JIM BEAM BRANDS COMPANY,191814.1200000079,0.06241132474783076
DIAGEO NORTH AMERICA INC,191657.12000000014,0.062360241032065236
WINE GROUP INC,191568.3800000066,0.06233136734457175
BROWN-FORMAN CORP,191514.96000000119,0.06231398586625113
SAZERAC CO INC,191428.15999999733,0.06228574340428664
JIM BEAM BRANDS COMPANY,191415.95999999883,0.06228177384166097
MARTIGNETTI COMPANIES,191115.0099999964,0.06218385254064824
CONSTELLATION BRANDS INC,190780.37999999808,0.06207497264379675
