Description,TotalSalesDollars,AvgProfitMargin
Appleton Estate Reserve Rum,49021.38999999997,23.09157288277661
Appleton Special Gold Rum,154424.54000000496,30.6860470631199
Aquilon 06 Garnacha de Borja,629.93,90.60213039544075
Aquinas Cab Svgn,3592.349999999996,90.4240956476958
Aquinas Napa Chard,643.5400000000001,85.31559809802033
Aquitania Cab Svgn,2526.4199999999955,7.556938276295957
Arabella Chard,131.88,33.75796178343949
Arak Razzouk,18801.44999999999,46.53805956455484
Arak-Gantous & Abouraad,23676.83000000007,28.14325228503995
Arca Nova Rose,263.76,31.028207461328485
Arca Nova Vinho Verde,55629.53999999996,34.03044497581599
Archetype Shiraz/Cab Barossa,142.89000000000001,26.76884316607181
Ardbeg 10 Yr Single Malt Sc,139529.88000000326,14.001961443673473
Ardbeg Auriverdes Scotch,3959.5799999999963,82.6522004859101
Ardbeg Corryvreckan Scotch,41324.24000000004,29.209103422107624
Ardbeg Dark Cove Com Release,7259.339999999997,21.98299018919072
Ardbeg Exploration Pk +50mls,41806.93000000009,75.86766117483398
Ardbeg Perpetuum Single Malt,13228.619999999983,61.078479841434664
Ardbeg Uigeadail Scotch,47357.73999999997,29.519060664634633
Ardmore Legacy Single Malt,29665.960000000356,20.636311786304177
Aresti Pnt Nr Curico Vly,94.80999999999999,96.54044931969202
Argentiera Poggio Ginerpi Bo,227.88,32.43812532912059
Argiano Non Confunditur Rsso,263.87999999999994,35.4706684856753
Argiola Costera Isola dei N,149.85,45.945945945945944
Argiolas SerraLori Rose 13,503.4000000000002,33.778307508939236
Argyle Brut,14523.1099999999,39.4124261263596
Argyle Willamette Pnt Nr,40334.71000000023,32.631720917294594
Arindo Verdejo Rueda,708.3700000000002,63.713878340415334
Armand De Brignac Brut,37638.67000000003,36.52145519488344
Armand Kabinett Rsl,577.7000000000002,46.40817033062144
Armand de Brignac Brut Rose,9239.779999999997,51.83608267729317
Armas de Guerra Rosado Mncia,10814.269999999937,24.954250263771414
Armorik Single Malt Whiskey,1199.8,96.24020670111686
Arnaldo Caprai Grecante Grec,1614.1500000000003,4.61852987640555
Arpa Brunello di Montalcino,28727.02000000007,8.497017790220028
Arpa Pnt Grigio,14885.099999999875,20.13422818791875
Arrogant Frog Chardonnay,239.76,67.51751751751752
Arrogant Frog Pnt Nr,2607.3900000000012,35.38596067331704
Arrow Apricot Brandy,575.28,24.280350438047552
Arrow Blackberry Brandy,10085.589999999895,35.44889292545054
Arrow Blackraspberry Liqueur,383.5200000000001,20.65081351689614
Arrow Blue Curacao,4554.299999999974,23.705509079331204
Arrow Brown Creme de Cacao,24832.920000000417,27.254628130724708
Arrow Cherry Brandy,11353.78999999985,17.60495834430498
Arrow Coffee Brandy,313194.51999999525,28.129178412980114
Arrow Creme de Banana,21373.250000000266,26.242943866750313
Arrow Creme de Strawberry,3835.1999999999753,34.85372340425489
Arrow Ginger Brandy,93900.6000000046,38.3278701094592
Arrow Kirsch,17023.509999999802,27.412384402510597
Arrow Peppermint Schnapps,134082.6300000063,19.873474642118005
Arrow Sloe Gin,14086.369999999726,20.329013081438003
Arrow White Creme de Cacao,29666.87000000077,22.194690575718024
Arrowood Cab Svgn Sonoma Vly,8667.009999999984,30.57594256842887
Arrowood Sonoma Est Cab Svgn,1766.96,26.603884638022375
Art In The Age Root Liqueur,34674.740000000456,26.075321689507426
Art In The Age Sage,20027.480000000047,35.55045367664856
